piece_title,composer,year_of_composition,era,piece_slug
Aimons-nous et dormons,"Debussy, Claude",1880,Romantic,debussy-claude-aimonsnous-et-dormons
Andante and Tempo di Marcia Funebra,"Debussy, Claude",1881,Romantic,debussy-claude-andante-and-tempo-di-marcia-funebra
Les angélus,"Debussy, Claude",1892 (February),Romantic,debussy-claude-les-anglus
Apparition,"Debussy, Claude","1884 (8 February), Ville d'Avray",Romantic,debussy-claude-apparition
2 Arabesques,"Debussy, Claude",1890-91,Romantic,debussy-claude-2-arabesques
Ariettes oubliées,"Debussy, Claude","1885-87, rev.1903  1 and 2: March 18873 and 4: 6 and 10 January 18855: January 1886",Romantic,debussy-claude-ariettes-oublies
La boîte à joujoux,"Debussy, Claude",1913,Romantic,debussy-claude-la-bote--joujoux
Berceuse héroïque,"Debussy, Claude",1914 (November),Romantic,debussy-claude-berceuse-hroque
La belle au bois dormant,"Debussy, Claude",1890,Romantic,debussy-claude-la-belle-au-bois-dormant
Beau soir,"Debussy, Claude","1880 ca., rev.1890-91",Romantic,debussy-claude-beau-soir
Ballade,"Debussy, Claude",1890,Romantic,debussy-claude-ballade
3 Ballades de François Villon,"Debussy, Claude",1910,Romantic,debussy-claude-3-ballades-de-franois-villon
Children's Corner,"Debussy, Claude",1906-1908,Romantic,debussy-claude-childrens-corner
3 Chansons de France,"Debussy, Claude",1904,Romantic,debussy-claude-3-chansons-de-france
3 Chansons de Charles d'Orléans,"Debussy, Claude","1898 (nos.1, 3), 1908 (no.2)",Romantic,debussy-claude-3-chansons-de-charles-dorlans
3 Chansons de Bilitis,"Debussy, Claude",1897-98,Romantic,debussy-claude-3-chansons-de-bilitis
Chanson espagnole,"Debussy, Claude",1883,Romantic,debussy-claude-chanson-espagnole
Cello Sonata,"Debussy, Claude",1915 (July-August),Romantic,debussy-claude-cello-sonata
D'un cahier d'esquisses,"Debussy, Claude",1903–04 (January),Romantic,debussy-claude-dun-cahier-desquisses
Divertissement,"Debussy, Claude",1882,Romantic,debussy-claude-divertissement
Diane Ouverture,"Debussy, Claude",1881,Romantic,debussy-claude-diane-ouverture
Diane au bois,"Debussy, Claude",1883-86,Romantic,debussy-claude-diane-au-bois
Danse,"Debussy, Claude",1890,Romantic,debussy-claude-danse
Danse sacrée et danse profane,"Debussy, Claude",1904 (April-May),Romantic,debussy-claude-danse-sacre-et-danse-profane
Danse bohémienne,"Debussy, Claude",1880,Romantic,debussy-claude-danse-bohmienne
Dans le jardin,"Debussy, Claude",1903 (May),Romantic,debussy-claude-dans-le-jardin
La damoiselle élue,"Debussy, Claude","1887-88, reorchestrated 1902",Romantic,debussy-claude-la-damoiselle-lue
Etudes,"Debussy, Claude",1915 (July 23 to September 29),Romantic,debussy-claude-etudes
Estampes,"Debussy, Claude",1903 July,Romantic,debussy-claude-estampes
6 Épigraphes antiques,"Debussy, Claude",1914-15,Romantic,debussy-claude-6-pigraphes-antiques
L'enfant prodigue,"Debussy, Claude","1884, rev.1907",Romantic,debussy-claude-lenfant-prodigue
En sourdine,"Debussy, Claude",1882,Romantic,debussy-claude-en-sourdine
En blanc et noir,"Debussy, Claude",1915 (4 June - 20 July),Romantic,debussy-claude-en-blanc-et-noir
Élégie,"Debussy, Claude",1915,Romantic,debussy-claude-lgie
Églogue,"Debussy, Claude",1882,Romantic,debussy-claude-glogue
Fugue in C Major,"Debussy, Claude",1882,Romantic,debussy-claude-fugue-in-c-major
Fugue à 4 voix,"Debussy, Claude","1884 — Paris: Prix de Rome, concours d'essai",Romantic,debussy-claude-fugue--4-voix
Fragment for Piano,"Debussy, Claude",1905,Romantic,debussy-claude-fragment-for-piano
Fleur des blés,"Debussy, Claude",1881,Romantic,debussy-claude-fleur-des-bls
"Fêtes galantes, 2e recueil","Debussy, Claude",1904,Romantic,debussy-claude-ftes-galantes-2e-recueil
"Fêtes galantes, 1er recueil","Debussy, Claude","1882, rev.1891-92",Romantic,debussy-claude-ftes-galantes-1er-recueil
Fantaisie for Piano and Orchestra,"Debussy, Claude",1889-90 (October to April),Romantic,debussy-claude-fantaisie-for-piano-and-orchestra
Hommage à Haydn,"Debussy, Claude",1909 (May),Romantic,debussy-claude-hommage--haydn
Images oubliées,"Debussy, Claude",1894 (Winter),Romantic,debussy-claude-images-oublies
Images pour orchestre,"Debussy, Claude",1905-12,Romantic,debussy-claude-images-pour-orchestre
"Images, 1re série","Debussy, Claude",1901-05,Romantic,debussy-claude-images-1re-srie
"Images, 2e série","Debussy, Claude",1907,Romantic,debussy-claude-images-2e-srie
Invocation,"Debussy, Claude",1883,Romantic,debussy-claude-invocation
L'isle joyeuse,"Debussy, Claude",1904,Romantic,debussy-claude-lisle-joyeuse
Jeux,"Debussy, Claude",1912-13,Romantic,debussy-claude-jeux
Khamma,"Debussy, Claude",1910-12,Romantic,debussy-claude-khamma
Lindaraja,"Debussy, Claude",1901 (April),Romantic,debussy-claude-lindaraja
The Little Nigar,"Debussy, Claude",1909,Romantic,debussy-claude-the-little-nigar
Mandoline,"Debussy, Claude","1882 (November 15, Vienna)",Romantic,debussy-claude-mandoline
Marche écossaise sur un thème populaire,"Debussy, Claude",Version A: 1890Version B: 1893-ca.1908,Romantic,debussy-claude-marche-cossaise-sur-un-thme-populaire
Le martyre de saint Sébastien,"Debussy, Claude",1910,Romantic,debussy-claude-le-martyre-de-saint-sbastien
Masques,"Debussy, Claude",1903-04,Romantic,debussy-claude-masques
Mazurka,"Debussy, Claude",1890,Romantic,debussy-claude-mazurka
3 Mélodies de Verlaine,"Debussy, Claude",1891,Romantic,debussy-claude-3-mlodies-de-verlaine
La mer,"Debussy, Claude","1903-05, rev. 1908",Romantic,debussy-claude-la-mer
Morceau de concours,"Debussy, Claude",1904,Romantic,debussy-claude-morceau-de-concours
Nuits blanches,"Debussy, Claude",1898 (May - September),Romantic,debussy-claude-nuits-blanches
Nuit d’étoiles,"Debussy, Claude",1880,Romantic,debussy-claude-nuit-dtoiles
Noël des enfants qui n'ont plus de maisons,"Debussy, Claude",1915,Romantic,debussy-claude-nol-des-enfants-qui-nont-plus-de-maisons
Nocturne,"Debussy, Claude",1892,Romantic,debussy-claude-nocturne
Nocturnes,"Debussy, Claude",1897-99*,Romantic,debussy-claude-nocturnes
Nocturne et Scherzo,"Debussy, Claude",1882,Romantic,debussy-claude-nocturne-et-scherzo
Pantomime,"Debussy, Claude",1883,Romantic,debussy-claude-pantomime
Paysage sentimental,"Debussy, Claude",1883,Romantic,debussy-claude-paysage-sentimental
Pelléas et Mélisande,"Debussy, Claude",1893-1902,Romantic,debussy-claude-pellas-et-mlisande
Petite pièce,"Debussy, Claude",1910,Romantic,debussy-claude-petite-pice
Petite suite,"Debussy, Claude",1886-89,Romantic,debussy-claude-petite-suite
Pièce pour le Vêtement du blessé,"Debussy, Claude",1915,Romantic,debussy-claude-pice-pour-le-vtement-du-bless
Pierrot,"Debussy, Claude",1882,Romantic,debussy-claude-pierrot
La plus que lente,"Debussy, Claude",1910,Romantic,debussy-claude-la-plus-que-lente
5 Poèmes de Baudelaire,"Debussy, Claude",1887–89,Romantic,debussy-claude-5-pomes-de-baudelaire
3 Poèmes de Stéphane Mallarmé,"Debussy, Claude",1913,Romantic,debussy-claude-3-pomes-de-stphane-mallarm
Pour le piano,"Debussy, Claude",1894-1901,Romantic,debussy-claude-pour-le-piano
Prélude à l'après-midi d'un faune,"Debussy, Claude",1891-94,Romantic,debussy-claude-prlude--laprsmidi-dun-faune
"Préludes, Livre 1","Debussy, Claude",1909-10,Romantic,debussy-claude-prludes-livre-1
"Préludes, Livre 2","Debussy, Claude",1912-13,Romantic,debussy-claude-prludes-livre-2
Première rhapsodie,"Debussy, Claude",1909-10,Romantic,debussy-claude-premire-rhapsodie
Le printemps,"Debussy, Claude",1882,Romantic,debussy-claude-le-printemps
Printemps,"Debussy, Claude","1887 (February)*, revised 1912",Romantic,debussy-claude-printemps
Le promenoir des deux amants,"Debussy, Claude",1904 (No.1); 1910 (2-3),Romantic,debussy-claude-le-promenoir-des-deux-amants
Proses lyriques,"Debussy, Claude",1892-93,Romantic,debussy-claude-proses-lyriques
Rondeau,"Debussy, Claude",1881 (Summer),Romantic,debussy-claude-rondeau
2 Romances,"Debussy, Claude",1885,Romantic,debussy-claude-2-romances
Le roi Lear,"Debussy, Claude",1904-05,Romantic,debussy-claude-le-roi-lear
Rêverie,"Debussy, Claude",1890,Romantic,debussy-claude-rverie
Rapsodie for Orchestra and Saxophone,"Debussy, Claude",1901-11,Romantic,debussy-claude-rapsodie-for-orchestra-and-saxophone
Les soirs illuminés par l'ardeur du charbon,"Debussy, Claude",1917 (February/March),Romantic,debussy-claude-les-soirs-illumins-par-lardeur-du-charbon
"Sonata for Flute, Viola and Harp","Debussy, Claude",1915,Romantic,debussy-claude-sonata-for-flute-viola-and-harp
"String Quartet in G minor, Op.10","Debussy, Claude",1893,Romantic,debussy-claude-string-quartet-in-g-minor-op10
Suite bergamasque,"Debussy, Claude",1890-1905,Romantic,debussy-claude-suite-bergamasque
Symphony in B minor,"Debussy, Claude",1880 (December) - 1881 (January),Romantic,debussy-claude-symphony-in-b-minor
Syrinx,"Debussy, Claude",1913,Romantic,debussy-claude-syrinx
Le triomphe de Bacchus,"Debussy, Claude",1882,Romantic,debussy-claude-le-triomphe-de-bacchus
Valse romantique,"Debussy, Claude",1890,Romantic,debussy-claude-valse-romantique
Violin Sonata,"Debussy, Claude",1917,Romantic,debussy-claude-violin-sonata
Voici que le printemps,"Debussy, Claude",1884,Romantic,debussy-claude-voici-que-le-printemps
Votre âme est un paysage choisi,"Debussy, Claude",1882,Romantic,debussy-claude-votre-me-est-un-paysage-choisi
Zéphyr,"Debussy, Claude",1881,Romantic,debussy-claude-zphyr
"À la manière de Borodine, M.63/1","Ravel, Maurice",1912–13,Early 20th century,ravel-maurice--la-manire-de-borodine-m631
"À la manière de Chabrier, M.63/2","Ravel, Maurice",1912–13,Early 20th century,ravel-maurice--la-manire-de-chabrier-m632
"Alcyone, M.34","Ravel, Maurice",1902,Early 20th century,ravel-maurice-alcyone-m34
"Alyssa, M.38","Ravel, Maurice",1903,Early 20th century,ravel-maurice-alyssa-m38
"L'aurore, M.45","Ravel, Maurice",1905,Early 20th century,ravel-maurice-laurore-m45
"Ballade de la reine morte d'aimer, M.4","Ravel, Maurice",1893,Early 20th century,ravel-maurice-ballade-de-la-reine-morte-daimer-m4
"Les bayadères, M.25","Ravel, Maurice",1900/05,Early 20th century,ravel-maurice-les-bayadres-m25
"Berceuse sur le nom de Gabriel Fauré, M.74","Ravel, Maurice",1922,Early 20th century,ravel-maurice-berceuse-sur-le-nom-de-gabriel-faur-m74
"Boléro, M.81","Ravel, Maurice",1928,Early 20th century,ravel-maurice-bolro-m81
"Le ciel est, par-dessus le toit","Ravel, Maurice",1890s,Early 20th century,ravel-maurice-le-ciel-est-pardessus-le-toit
"Chants populaires, M.A 17","Ravel, Maurice",,Early 20th century,ravel-maurice-chants-populaires-ma-17
"3 Chansons, M.69","Ravel, Maurice",1914–15,Early 20th century,ravel-maurice-3-chansons-m69
"Chansons madécasses, M.78","Ravel, Maurice",1925-26,Early 20th century,ravel-maurice-chansons-madcasses-m78
Chanson galante,"Ravel, Maurice",1901-1905 (between),Early 20th century,ravel-maurice-chanson-galante
"Chanson écossaise, M.A 12","Ravel, Maurice",1909,Early 20th century,ravel-maurice-chanson-cossaise-ma-12
"Chanson du rouet, M.15","Ravel, Maurice",1898,Early 20th century,ravel-maurice-chanson-du-rouet-m15
"Callirhoé, M.22","Ravel, Maurice",1900,Early 20th century,ravel-maurice-callirho-m22
"Daphnis et Chloé Suite No.1, M.57a","Ravel, Maurice",1911,Early 20th century,ravel-maurice-daphnis-et-chlo-suite-no1-m57a
"Daphnis et Chloé Suite No.2, M.57b","Ravel, Maurice",1913,Early 20th century,ravel-maurice-daphnis-et-chlo-suite-no2-m57b
"Daphnis et Chloé, M.57","Ravel, Maurice",1909-12,Early 20th century,ravel-maurice-daphnis-et-chlo-m57
"L'enfant et les sortilèges, M.71","Ravel, Maurice",1919–25,Early 20th century,ravel-maurice-lenfant-et-les-sortilges-m71
"Epigrammes de Clément Marot, M.21/10","Ravel, Maurice","1896 (No.2), 1899 (No.1)",Early 20th century,ravel-maurice-epigrammes-de-clment-marot-m2110
"Fanfare for the ballet 'L'éventail de Jeanne', M.80","Ravel, Maurice",1927,Early 20th century,ravel-maurice-fanfare-for-the-ballet-lventail-de-jeanne-m80
Fleuri dans 3 parties,"Ravel, Maurice",Between 1889-1903,Early 20th century,ravel-maurice-fleuri-dans-3-parties
"Frontispice, M.70","Ravel, Maurice",1918,Early 20th century,ravel-maurice-frontispice-m70
"Fugue in C major, M.44","Ravel, Maurice",1905,Early 20th century,ravel-maurice-fugue-in-c-major-m44
Fugue in C minor,"Ravel, Maurice",1889-1903 (between),Early 20th century,ravel-maurice-fugue-in-c-minor
"Fugue in D major, M.23","Ravel, Maurice",1900,Early 20th century,ravel-maurice-fugue-in-d-major-m23
Fugue in E major,"Ravel, Maurice",1889-1903 (between),Early 20th century,ravel-maurice-fugue-in-e-major
Fugue in E-flat major,"Ravel, Maurice",1902(?),Early 20th century,ravel-maurice-fugue-in-eflat-major
Fugue in F minor,"Ravel, Maurice",1897?,Early 20th century,ravel-maurice-fugue-in-f-minor
"Fugue in F major, M.27","Ravel, Maurice",1900,Early 20th century,ravel-maurice-fugue-in-f-major-m27
"Gaspard de la nuit, M.55","Ravel, Maurice",1908,Early 20th century,ravel-maurice-gaspard-de-la-nuit-m55
"Les grands vents venus d'outre-mer, M.48","Ravel, Maurice",1906,Early 20th century,ravel-maurice-les-grands-vents-venus-doutremer-m48
"L'heure espagnole, M.52","Ravel, Maurice",1907-09,Early 20th century,ravel-maurice-lheure-espagnole-m52
"Histoires naturelles, M.50","Ravel, Maurice",1906,Early 20th century,ravel-maurice-histoires-naturelles-m50
"Ma mère l'Oye, M.60","Ravel, Maurice","1908 (No.1), 1910 (Nos.2–5)",Early 20th century,ravel-maurice-ma-mre-loye-m60
"Jeux d'eau, M.30","Ravel, Maurice",1901,Early 20th century,ravel-maurice-jeux-deau-m30
"Introduction et allegro, M.46","Ravel, Maurice",1905,Early 20th century,ravel-maurice-introduction-et-allegro-m46
"Ma mère l'Oye, M.62","Ravel, Maurice",1911-12,Early 20th century,ravel-maurice-ma-mre-loye-m62
"Manteau de fleurs, M.39","Ravel, Maurice",1903,Early 20th century,ravel-maurice-manteau-de-fleurs-m39
"Matinée de Provence, M.37","Ravel, Maurice",1903,Early 20th century,ravel-maurice-matine-de-provence-m37
"2 Mélodies hébraïques, M.A 22","Ravel, Maurice",1914,Early 20th century,ravel-maurice-2-mlodies-hbraques-ma-22
"5 Mélodies populaires grecques, M.A 4-5, 9-11","Ravel, Maurice",1904-06,Early 20th century,ravel-maurice-5-mlodies-populaires-grecques-ma-45-911
"Menuet antique, M.7","Ravel, Maurice",1895,Early 20th century,ravel-maurice-menuet-antique-m7
"Menuet sur le nom d'Haydn, M.58","Ravel, Maurice",1909,Early 20th century,ravel-maurice-menuet-sur-le-nom-dhaydn-m58
"Minuet in C-sharp minor, M.42","Ravel, Maurice",1904 ?,Early 20th century,ravel-maurice-minuet-in-csharp-minor-m42
"Miroirs, M.43","Ravel, Maurice",1904–05,Early 20th century,ravel-maurice-miroirs-m43
"Myrrha, M.29","Ravel, Maurice",1901,Early 20th century,ravel-maurice-myrrha-m29
"Noël des jouets, M.47","Ravel, Maurice",1905,Early 20th century,ravel-maurice-nol-des-jouets-m47
"La parade, M.11","Ravel, Maurice",1896,Early 20th century,ravel-maurice-la-parade-m11
"Pavane pour une infante défunte, M.19","Ravel, Maurice",1899,Early 20th century,ravel-maurice-pavane-pour-une-infante-dfunte-m19
"Piano Concerto for the Left Hand, M.82","Ravel, Maurice",1929-30,Early 20th century,ravel-maurice-piano-concerto-for-the-left-hand-m82
"Piano Concerto in G major, M.83","Ravel, Maurice",1929-31,Early 20th century,ravel-maurice-piano-concerto-in-g-major-m83
"Piano Trio, M.67","Ravel, Maurice",1914,Early 20th century,ravel-maurice-piano-trio-m67
"3 Poèmes de Stéphane Mallarmé, M.64","Ravel, Maurice",1913,Early 20th century,ravel-maurice-3-pomes-de-stphane-mallarm-m64
"Prélude, M.65","Ravel, Maurice",1913,Early 20th century,ravel-maurice-prlude-m65
"Rapsodie espagnole, M.54","Ravel, Maurice",1907,Early 20th century,ravel-maurice-rapsodie-espagnole-m54
"Rêves, M.79","Ravel, Maurice",1927,Early 20th century,ravel-maurice-rves-m79
"Ronsard à son âme, M.75","Ravel, Maurice",1923-24,Early 20th century,ravel-maurice-ronsard--son-me-m75
"Sainte, M.9","Ravel, Maurice",1896,Early 20th century,ravel-maurice-sainte-m9
"Sémiramis, M.31","Ravel, Maurice",1902,Early 20th century,ravel-maurice-smiramis-m31
"Sérénade grotesque, M.5","Ravel, Maurice",1893 ca.,Early 20th century,ravel-maurice-srnade-grotesque-m5
"Shéhérazade, M.41","Ravel, Maurice",1903,Early 20th century,ravel-maurice-shhrazade-m41
"Shéhérazade, ouverture de féerie, M.17","Ravel, Maurice",1898,Early 20th century,ravel-maurice-shhrazade-ouverture-de-ferie-m17
"Si morne!, M.16","Ravel, Maurice",1898,Early 20th century,ravel-maurice-si-morne-m16
"Sites auriculaires, M.8/13","Ravel, Maurice","1895, 1897",Early 20th century,ravel-maurice-sites-auriculaires-m813
"Sonata for Violin and Cello, M.73","Ravel, Maurice",1920–22,Early 20th century,ravel-maurice-sonata-for-violin-and-cello-m73
"Sonatine, M.40","Ravel, Maurice",1903-05,Early 20th century,ravel-maurice-sonatine-m40
"String Quartet in F major, M.35","Ravel, Maurice",1902–03,Early 20th century,ravel-maurice-string-quartet-in-f-major-m35
"Sur l'herbe, M.53","Ravel, Maurice",1907,Early 20th century,ravel-maurice-sur-lherbe-m53
"Le tombeau de Couperin, M.68","Ravel, Maurice",1914–17,Early 20th century,ravel-maurice-le-tombeau-de-couperin-m68
"Le tombeau de Couperin, M.68a","Ravel, Maurice",1919,Early 20th century,ravel-maurice-le-tombeau-de-couperin-m68a
"Tzigane, M.76","Ravel, Maurice",1924,Early 20th century,ravel-maurice-tzigane-m76
"Tout est lumière, M.28","Ravel, Maurice",1901-1905 (between),Early 20th century,ravel-maurice-tout-est-lumire-m28
"Un grand sommeil noir, M.6","Ravel, Maurice",1895,Early 20th century,ravel-maurice-un-grand-sommeil-noir-m6
"Vocalise-étude en forme de habanera, M.51","Ravel, Maurice",1907,Early 20th century,ravel-maurice-vocalisetude-en-forme-de-habanera-m51
"Violin Sonata No.2, M.77","Ravel, Maurice",1923–27,Early 20th century,ravel-maurice-violin-sonata-no2-m77
"Violin Sonata No.1, M.12","Ravel, Maurice",1897 (April),Early 20th century,ravel-maurice-violin-sonata-no1-m12
"Variations on a Theme by Grieg, M.2","Ravel, Maurice",1888,Early 20th century,ravel-maurice-variations-on-a-theme-by-grieg-m2
"Valses nobles et sentimentales, M.61","Ravel, Maurice",1911 (Version A)1912 (Version B),Early 20th century,ravel-maurice-valses-nobles-et-sentimentales-m61
"La valse, M.72","Ravel, Maurice",1919–20,Early 20th century,ravel-maurice-la-valse-m72
"À sa guitare, FP 79a","Poulenc, Francis",1935,Early 20th century,poulenc-francis--sa-guitare-fp-79a
"Airs chantés, FP 46","Poulenc, Francis",1927-28,Early 20th century,poulenc-francis-airs-chants-fp-46
"Les animaux modèles, FP 111","Poulenc, Francis",1940-42,Early 20th century,poulenc-francis-les-animaux-modles-fp-111
"Aubade, FP 51","Poulenc, Francis",1929,Early 20th century,poulenc-francis-aubade-fp-51
"Ave verum corpus, FP 154","Poulenc, Francis",1952,Early 20th century,poulenc-francis-ave-verum-corpus-fp-154
"Badinage, FP 73","Poulenc, Francis",1934,Early 20th century,poulenc-francis-badinage-fp-73
"Le bal masqué, FP 60","Poulenc, Francis",1932,Early 20th century,poulenc-francis-le-bal-masqu-fp-60
"Banalités, FP 107","Poulenc, Francis",1940,Early 20th century,poulenc-francis-banalits-fp-107
"Le bestiaire, FP 15","Poulenc, Francis",1919,Early 20th century,poulenc-francis-le-bestiaire-fp-15
"Les biches, FP 36","Poulenc, Francis","1923, rev. 1939–40, 1947",Early 20th century,poulenc-francis-les-biches-fp-36
"Bourrée, au Pavillon d’Auvergne, FP 87","Poulenc, Francis",1937,Early 20th century,poulenc-francis-bourre-au-pavillon-dauvergne-fp-87
"Calligrammes, FP 140","Poulenc, Francis",1948,Early 20th century,poulenc-francis-calligrammes-fp-140
"Ce doux petit visage, FP 99","Poulenc, Francis",1939,Early 20th century,poulenc-francis-ce-doux-petit-visage-fp-99
"Cello Sonata, FP 143","Poulenc, Francis","1940-48, rev.1953",Early 20th century,poulenc-francis-cello-sonata-fp-143
"Chanson à boire, FP 31","Poulenc, Francis",1922,Early 20th century,poulenc-francis-chanson--boire-fp-31
"3 Chansons de Federico García Lorca, FP 136","Poulenc, Francis",1947,Early 20th century,poulenc-francis-3-chansons-de-federico-garca-lorca-fp-136
"8 Chansons françaises, FP 130","Poulenc, Francis",1945–46,Early 20th century,poulenc-francis-8-chansons-franaises-fp-130
"8 Chansons gaillardes, FP 42","Poulenc, Francis",1925-26,Early 20th century,poulenc-francis-8-chansons-gaillardes-fp-42
"8 Chansons polonaises, FP 69","Poulenc, Francis",1934,Early 20th century,poulenc-francis-8-chansons-polonaises-fp-69
"7 Chansons, FP 81","Poulenc, Francis",1936,Early 20th century,poulenc-francis-7-chansons-fp-81
"Clarinet Sonata, FP 184","Poulenc, Francis",1962,Early 20th century,poulenc-francis-clarinet-sonata-fp-184
"Cocardes, FP 16","Poulenc, Francis",1920; rev. 1939,Early 20th century,poulenc-francis-cocardes-fp-16
"Colloque, FP 108","Poulenc, Francis",1940,Early 20th century,poulenc-francis-colloque-fp-108
"Concert champêtre, FP 49","Poulenc, Francis",1927-28,Early 20th century,poulenc-francis-concert-champtre-fp-49
"Concerto for 2 Pianos, FP 61","Poulenc, Francis",1932,Early 20th century,poulenc-francis-concerto-for-2-pianos-fp-61
"La Dame de Monte-Carlo, FP 180","Poulenc, Francis",1961,Early 20th century,poulenc-francis-la-dame-de-montecarlo-fp-180
"Dernier poème, FP 163","Poulenc, Francis",1956,Early 20th century,poulenc-francis-dernier-pome-fp-163
"Dialogues des Carmélites, FP 159","Poulenc, Francis",1953–56,Early 20th century,poulenc-francis-dialogues-des-carmlites-fp-159
"Le disparu, FP 134","Poulenc, Francis",1947,Early 20th century,poulenc-francis-le-disparu-fp-134
"Élégie, FP 168","Poulenc, Francis",1957,Early 20th century,poulenc-francis-lgie-fp-168
"Elegy, FP 175","Poulenc, Francis",1959,Early 20th century,poulenc-francis-elegy-fp-175
"L'embarquement pour Cythère, FP 150","Poulenc, Francis",1951,Early 20th century,poulenc-francis-lembarquement-pour-cythre-fp-150
"Epitaphe, FP 55","Poulenc, Francis",1930,Early 20th century,poulenc-francis-epitaphe-fp-55
"Exultate Deo, FP 109","Poulenc, Francis",1941,Early 20th century,poulenc-francis-exultate-deo-fp-109
"Esquisse d’une fanfare, FP 25","Poulenc, Francis",1921,Early 20th century,poulenc-francis-esquisse-dune-fanfare-fp-25
"Fancy, FP 174","Poulenc, Francis",1959,Early 20th century,poulenc-francis-fancy-fp-174
"Feuillets d’album, FP 68","Poulenc, Francis",1933,Early 20th century,poulenc-francis-feuillets-dalbum-fp-68
"Fiançailles pour rire, FP 101","Poulenc, Francis",1939,Early 20th century,poulenc-francis-fianailles-pour-rire-fp-101
"Figure humaine, FP 120","Poulenc, Francis",1943,Early 20th century,poulenc-francis-figure-humaine-fp-120
"Flute Sonata, FP 164","Poulenc, Francis",1956–57,Early 20th century,poulenc-francis-flute-sonata-fp-164
"La fraîcheur et le feu, FP 147","Poulenc, Francis",1950,Early 20th century,poulenc-francis-la-fracheur-et-le-feu-fp-147
"Française d'après Claude Gervaise, FP 103","Poulenc, Francis",1939,Early 20th century,poulenc-francis-franaise-daprs-claude-gervaise-fp-103
Le gendarme incompris,"suite), FP 20b (Poulenc, Francis",1920-21,Early 20th century,suite-fp-20b-poulenc-francis-le-gendarme-incompris
"Gloria, FP 177","Poulenc, Francis",1959-60,Early 20th century,poulenc-francis-gloria-fp-177
"La grenouillère, FP 96","Poulenc, Francis",1938,Early 20th century,poulenc-francis-la-grenouillre-fp-96
"Histoire de Babar le petit éléphant, FP 129","Poulenc, Francis",1940,Early 20th century,poulenc-francis-histoire-de-babar-le-petit-lphant-fp-129
"Humoresque, FP 72","Poulenc, Francis",1934,Early 20th century,poulenc-francis-humoresque-fp-72
"Hymne, FP 144","Poulenc, Francis",1949,Early 20th century,poulenc-francis-hymne-fp-144
"2 Marches et un intermède, FP 88","Poulenc, Francis",1937,Early 20th century,poulenc-francis-2-marches-et-un-intermde-fp-88
"Les mamelles de Tirésias, FP 125","Poulenc, Francis",1944,Early 20th century,poulenc-francis-les-mamelles-de-tirsias-fp-125
"…mais mourir, FP 137","Poulenc, Francis",1947,Early 20th century,poulenc-francis-mais-mourir-fp-137
"Main dominée par le cœur, FP 135","Poulenc, Francis",1947,Early 20th century,poulenc-francis-main-domine-par-le-cur-fp-135
"Litanies à la Vierge Noire, FP 82","Poulenc, Francis","1936, revised 1947",Early 20th century,poulenc-francis-litanies--la-vierge-noire-fp-82
"Laudes de Saint-Antoine de Padoue, FP 172","Poulenc, Francis",1957–59,Early 20th century,poulenc-francis-laudes-de-saintantoine-de-padoue-fp-172
"L'invitation au château, FP 138","Poulenc, Francis",1947/9/8,Early 20th century,poulenc-francis-linvitation-au-chteau-fp-138
"3 Intermezzos, FP 71/118","Poulenc, Francis",1934/1943,Early 20th century,poulenc-francis-3-intermezzos-fp-71118
"2 Improvisations, FP 170","Poulenc, Francis",1958,Early 20th century,poulenc-francis-2-improvisations-fp-170
"2 Improvisations, FP 113","Poulenc, Francis",1941,Early 20th century,poulenc-francis-2-improvisations-fp-113
"10 Improvisations, FP 63","Poulenc, Francis",1932-34,Early 20th century,poulenc-francis-10-improvisations-fp-63
"5 Impromptus, FP 21","Poulenc, Francis",1920-21; rev. 1939,Early 20th century,poulenc-francis-5-impromptus-fp-21
"Le Voyageur sans bagage, FP 123","Poulenc, Francis",1944/03/19-21,Early 20th century,poulenc-francis-le-voyageur-sans-bagage-fp-123
"La voix humaine, FP 171","Poulenc, Francis",1958,Early 20th century,poulenc-francis-la-voix-humaine-fp-171
"Vocalise-Etude, FP 44","Poulenc, Francis",,Early 20th century,poulenc-francis-vocaliseetude-fp-44
"Violin Sonata, FP 119","Poulenc, Francis","1942-43, rev.1949",Early 20th century,poulenc-francis-violin-sonata-fp-119
"Villageoises, FP 65","Poulenc, Francis",,Early 20th century,poulenc-francis-villageoises-fp-65
"Valse-improvisation sur le nom de BACH, FP 62","Poulenc, Francis",1932,Early 20th century,poulenc-francis-valseimprovisation-sur-le-nom-de-bach-fp-62
"Valse for l’Album des Six, FP 17","Poulenc, Francis",1919,Early 20th century,poulenc-francis-valse-for-lalbum-des-six-fp-17
"Une chanson de porcelaine, FP 169","Poulenc, Francis",1958,Early 20th century,poulenc-francis-une-chanson-de-porcelaine-fp-169
"Un soir de neige, FP 126","Poulenc, Francis",1944,Early 20th century,poulenc-francis-un-soir-de-neige-fp-126
"Trio for Oboe, Bassoon and Piano, FP 43","Poulenc, Francis",1926,Early 20th century,poulenc-francis-trio-for-oboe-bassoon-and-piano-fp-43
"Le travail du peintre, FP 161","Poulenc, Francis",1956,Early 20th century,poulenc-francis-le-travail-du-peintre-fp-161
"Toréador, FP 11","Poulenc, Francis",1918 (rev. 1932),Early 20th century,poulenc-francis-torador-fp-11
"Thème varié, FP 151","Poulenc, Francis",1951,Early 20th century,poulenc-francis-thme-vari-fp-151
